0.125 1.116994398258008e-07 5.6318813728440124e-06 0.0 4.1307732456461836e-08 3.4417598723919344e-06 0.0
0.375 2.4449906247437253e-07 1.0417700553102533e-05 0.0 4.488433061486543e-08 2.296073612724555e-06 0.0
0.625 3.267413882765002e-07 1.9272042905415577e-05 0.0 4.195127723119384e-08 2.2812407806578994e-06 0.0
0.875 3.605262651743335e-07 2.8007099691537704e-05 0.0 4.0239683637014526e-08 2.397122547073533e-06 0.0
1.125 3.620941213326124e-07 3.57903267310465e-05 0.0 3.9207258313944925e-08 2.774812129053239e-06 0.0
1.375 3.4948225417598e-07 4.0554839452520596e-05 0.0 3.890468189283769e-08 3.008736769175072e-06 0.0
1.625 3.351345604403989e-07 4.452781457485963e-05 0.0 3.9064651689357384e-08 2.964328409184433e-06 0.0
1.875 3.110497944539517e-07 5.0491488578401926e-05 0.0 3.8533330093035006e-08 2.7965474594700187e-06 0.0
2.125 2.8870176708022126e-07 5.3504839640444596e-05 0.0 3.8751470077135874e-08 2.5194178113772315e-06 0.0
2.375 2.6636020660330204e-07 5.526970506013442e-05 0.0 3.8098623593814544e-08 2.297275302400914e-06 0.0
2.625 2.442860286710372e-07 5.581996806220483e-05 0.0 3.786266134418704e-08 2.1853252975333227e-06 0.0
2.875 2.2575681924499645e-07 5.184431415765199e-05 0.0 3.679509208143851e-08 2.108627503026398e-06 0.0
3.125 2.0863788084170292e-07 4.4944269821109224e-05 0.0 3.6200235564687986e-08 2.0493026423816786e-06 0.0
3.375 1.9029524732785654e-07 3.754891428356779e-05 0.0 3.554292243562645e-08 1.9863162031480672e-06 0.0
3.625 1.7338045583490597e-07 2.9792849600185775e-05 0.0 3.509454358363293e-08 1.874515405936395e-06 0.0
3.875 1.61777154710765e-07 2.15062303712819e-05 0.0 3.420455748879794e-08 1.7384835533354258e-06 0.0
4.125 1.4870351403027607e-07 1.3898195667658523e-05 0.0 3.3588952690357774e-08 1.5660175121307422e-06 0.0
4.375 1.346895835580472e-07 8.265879622150646e-06 0.0 3.3359177698534276e-08 1.4000104417404089e-06 0.0
4.625 1.2694069801608528e-07 4.8679952925013386e-06 0.0 3.262224092523579e-08 1.2581241622120014e-06 0.0
