0.125 3.4476878742944493e-06
0.375 2.327240324472484e-06
0.625 2.4053190112820087e-06
0.875 2.584433580199581e-06
1.125 2.6737321052317493e-06
1.375 2.69723849285459e-06
1.625 2.6393946474128314e-06
1.875 2.489566672982056e-06
2.125 2.291556420191449e-06
2.375 2.0869559343570736e-06
2.625 1.8924573797853147e-06
2.875 1.7054975173026646e-06
3.125 1.5373536736051376e-06
3.375 1.3787474270772911e-06
3.625 1.2454098041964781e-06
3.875 1.1226656651135494e-06
4.125 1.015345302387691e-06
4.375 9.210676161218771e-07
4.625 8.374135992262398e-07
4.875 7.630382430268946e-07
5.125 7.017634345176727e-07
5.375 6.410735405502393e-07
5.625 5.889209468189422e-07
5.875 5.40869082734106e-07
6.125 4.981468853082094e-07
6.375 4.633928793647245e-07
6.625 4.342154889305115e-07
6.875 3.9703339804616996e-07
7.125 3.734117608890457e-07
7.375 3.48837968950212e-07
7.625 3.2492598657786677e-07
7.875 3.056065150052552e-07
8.125 2.849069643993477e-07
8.375 2.7320838005068205e-07
8.625 2.5230797681154955e-07
8.875 2.392107898816646e-07
9.125 2.2677786039213845e-07
9.375 2.137486893163569e-07
9.625 2.0027092607133926e-07
9.875 1.8897630483350125e-07
10.125 1.8085740776375667e-07
10.375 1.691908954360145e-07
10.625 1.6085547927959595e-07
10.875 1.5094378338166525e-07
11.125 1.460345725724274e-07
11.375 1.3627982823577026e-07
11.625 1.306341491796104e-07
11.875 1.2521469044433846e-07
12.125 1.1555215837361836e-07
12.375 1.1231511031131302e-07
12.625 1.0763345285374516e-07
12.875 1.01028013897553e-07
13.125 9.647585876280522e-08
13.375 9.305284574834438e-08
13.625 9.114373172743564e-08
13.875 8.555107640540648e-08
14.125 8.253147669146098e-08
14.375 7.862866862461359e-08
14.625 7.618626463384722e-08
14.875 7.256129510141043e-08
15.125 6.94644788058882e-08
15.375 6.650084372694058e-08
15.625 6.355040871340801e-08
15.875 6.191884307212656e-08
16.125 5.8124241869054354e-08
16.375 5.6686612163598285e-08
16.625 5.42332182976736e-08
16.875 5.3455534259263745e-08
17.125 5.103087098162478e-08
17.375 4.9209117087959265e-08
17.625 4.6647714801090936e-08
17.875 4.619896850542368e-08
18.125 4.4263899129328606e-08
18.375 4.216291943215497e-08
18.625 4.109693617777184e-08
18.875 3.893621918529692e-08
19.125 3.7332156500057974e-08
19.375 3.734981938339299e-08
19.625 3.485962732751311e-08
19.875 3.304770679853074e-08
20.125 3.234723917672701e-08
20.375 3.1867155802168745e-08
20.625 3.103454692202696e-08
20.875 2.854774952713453e-08
21.125 2.77937528466451e-08
21.375 2.795453133810781e-08
21.625 2.5823707475586017e-08
21.875 2.613281744972039e-08
22.125 2.5297570990586514e-08
22.375 2.332074124297168e-08
22.625 2.2351750459183165e-08
22.875 2.1902466986889554e-08
23.125 2.175645994624511e-08
23.375 2.141011919505258e-08
23.625 2.0030611667225724e-08
23.875 1.97448729686838e-08
24.125 1.8090564349337963e-08
24.375 1.81206250832064e-08
24.625 1.7148318954062182e-08
24.875 1.690934296134804e-08
